iter	Logloss
0	0.691287848
1	0.6895936682
2	0.6880923081
3	0.6867626728
4	0.6853824351
5	0.6836894856
6	0.6820202605
7	0.6804902038
8	0.678995481
9	0.6776905148
10	0.6764235379
11	0.6753530685
12	0.6742004384
13	0.6732454465
14	0.6723359981
15	0.6713898141
16	0.670191552
17	0.6692550247
18	0.667836865
19	0.6665038035
20	0.6653533408
21	0.6644417565
22	0.6636390169
23	0.6628697919
24	0.6618482714
25	0.661010178
26	0.6603549709
27	0.6599541303
28	0.6594345003
29	0.658420729
30	0.657563336
31	0.6568624562
32	0.6563478177
33	0.6556257125
34	0.654875918
35	0.6543554384
36	0.6538152248
37	0.6530947585
38	0.6526746079
39	0.6521039628
40	0.6513820914
41	0.6504446268
42	0.6497567845
43	0.6493063749
44	0.6485634357
45	0.6478023593
46	0.6473435428
47	0.6470011595
48	0.6465880909
49	0.6460905507
50	0.645458739
51	0.6447915905
52	0.644458296
53	0.6440444453
54	0.6435743032
55	0.6429304902
56	0.6423715121
57	0.6419087883
58	0.6414646582
59	0.6408799464
60	0.6404367504
61	0.6400690356
62	0.6397519937
63	0.6395287769
64	0.6392495394
65	0.6390234658
66	0.6387000937
67	0.6383568564
68	0.6381313723
69	0.6377884592
70	0.6375125187
71	0.6369660795
72	0.6366013695
73	0.6359057703
74	0.6355760982
75	0.6352646219
76	0.6350175226
77	0.634784257
78	0.6342631612
79	0.6340206722
80	0.6335396302
81	0.6332016727
82	0.6328936029
83	0.6324868516
84	0.6321007921
85	0.6317102913
86	0.6314630242
87	0.6312015431
88	0.6309516251
89	0.6305751239
90	0.6300765627
91	0.6297737562
92	0.6296148853
93	0.6294147738
94	0.6292461351
95	0.6289514263
96	0.6285520581
97	0.6282780173
98	0.6277452308
99	0.6273610787
100	0.6271699114
101	0.6269094812
102	0.6266326738
103	0.6263602863
104	0.6260492223
105	0.6257000979
106	0.6254371905
107	0.625043267
108	0.62485657
109	0.6244108215
110	0.6241250521
111	0.623943174
112	0.6237287912
113	0.6234002734
114	0.6229632667
115	0.6227090299
116	0.6223999078
117	0.6219728372
118	0.6217824319
119	0.6214598635
120	0.621277793
121	0.6210914746
122	0.6208330083
123	0.6205176841
124	0.6201564437
125	0.6198239862
126	0.6196051274
127	0.6193415398
128	0.6191533831
129	0.6188537174
130	0.6186429918
131	0.6182652692
132	0.6180649686
133	0.6177715647
134	0.6174696933
135	0.6172513322
136	0.6170364855
137	0.6168763362
138	0.6167200323
139	0.6165066143
140	0.6163689247
141	0.6161924236
142	0.6159734828
143	0.6157623702
144	0.6153939596
145	0.6151958107
146	0.6150835541
147	0.6149248474
148	0.6147545745
149	0.6145313593
150	0.6143087568
151	0.6141492805
152	0.6140402517
153	0.613838807
154	0.6137171792
155	0.6134542121
156	0.6132436264
157	0.6129256486
158	0.6126580986
159	0.6123133945
160	0.6120373313
161	0.6118243123
162	0.6116275054
163	0.6113650903
164	0.6111126813
165	0.6108623456
166	0.6106451416
167	0.6102824544
168	0.6101029646
169	0.6098544853
170	0.6095603659
171	0.609492978
172	0.6092849131
173	0.6090710231
174	0.6087947237
175	0.608621939
176	0.6084508447
177	0.6081486575
178	0.6079325983
179	0.607698312
180	0.6075213381
181	0.6073130331
182	0.6071237723
183	0.6068248653
184	0.606465934
185	0.6062572899
186	0.6061051848
187	0.6058241741
188	0.6056098763
189	0.6053444096
190	0.6050022481
191	0.6048176382
192	0.6046173477
193	0.6043233125
194	0.6041341837
195	0.6039814673
196	0.6038125522
197	0.603562816
198	0.6033337263
199	0.6032167246
200	0.6030216689
201	0.6028661652
202	0.6026078605
203	0.6024419724
204	0.6022989864
205	0.6021240524
206	0.6019723077
207	0.6017674541
208	0.6016054795
209	0.6014362299
210	0.6011333329
211	0.6009192871
212	0.6006798606
213	0.6004432215
214	0.6002510582
215	0.6001088259
216	0.5999728263
217	0.5998749489
218	0.5996992495
219	0.5994906786
220	0.5993096939
221	0.5990284878
222	0.5988317187
223	0.5985800735
224	0.5984452375
225	0.5983063807
226	0.5980737229
227	0.597772175
228	0.5975772459
229	0.5973570064
230	0.5971920197
231	0.597063126
232	0.5968538957
233	0.596702085
234	0.5963958177
235	0.5961813925
236	0.5960293737
237	0.5958365927
238	0.5956822615
239	0.5955846431
240	0.5954481841
241	0.5952549006
242	0.5951515736
243	0.5949808089
244	0.5947962969
245	0.5945423352
246	0.5943471227
247	0.5941936974
248	0.5939826635
249	0.5937364431
250	0.5935550981
251	0.5933645294
252	0.5931811797
253	0.5930712888
254	0.5928951133
255	0.592646926
256	0.5924520689
257	0.5922330243
258	0.5920277604
259	0.5918246955
260	0.5916396071
261	0.5914730889
262	0.5911738327
263	0.590975576
264	0.5907432577
265	0.5905976896
266	0.5903540686
267	0.5901227254
268	0.5898985049
269	0.5897194305
270	0.5896058802
271	0.5894442109
272	0.5892471231
273	0.5891104154
274	0.5889067464
275	0.5887328966
276	0.588608829
277	0.5885331399
278	0.5883317904
279	0.588078713
280	0.5878834428
281	0.5877172939
282	0.58754754
283	0.587407177
284	0.587237751
285	0.5871148502
286	0.5869632626
287	0.5867466664
288	0.5866252626
289	0.5864703949
290	0.5863771409
291	0.5861211242
292	0.5859606851
293	0.5857625715
294	0.5856545236
295	0.5854097104
296	0.5852552822
297	0.5850408673
298	0.5848765748
299	0.5846499203
300	0.5844873
301	0.5842876438
302	0.5840195514
303	0.5837999905
304	0.5836513188
305	0.5834779805
306	0.5833191479
307	0.5830879612
308	0.5828691315
309	0.5827717481
310	0.5825910644
311	0.5824184726
312	0.5823023086
313	0.5820033354
314	0.5818271821
315	0.5815872576
316	0.5813496663
317	0.5811776528
318	0.5809703064
319	0.5808434783
320	0.5806667542
321	0.5805082954
322	0.5803627403
323	0.5801635692
324	0.580029962
325	0.5798397661
326	0.579695445
327	0.5796183731
328	0.5794308874
329	0.5793261168
330	0.5791231143
331	0.5790059616
332	0.5788193573
333	0.5785753248
334	0.5783583068
335	0.5781861717
336	0.5779635056
337	0.5777677881
338	0.5776342026
339	0.577445979
340	0.5772122403
341	0.5770340255
342	0.5768305629
343	0.5766330423
344	0.5764819681
345	0.5762692796
346	0.5760018313
347	0.5757831317
348	0.5756354182
349	0.575433957
350	0.5752092925
351	0.5750199433
352	0.5747981891
353	0.5745729675
354	0.5742541313
355	0.5740963353
356	0.5739716096
357	0.5738611501
358	0.5737069952
359	0.573549057
360	0.5732604977
361	0.572939358
362	0.5726533924
363	0.5724755569
364	0.5724042247
365	0.5722741944
366	0.5720993211
367	0.571963632
368	0.5717715444
369	0.5715022443
370	0.5713603094
371	0.5711505505
372	0.5709704774
373	0.5707688105
374	0.5705138349
375	0.5702205117
376	0.5700271543
377	0.5697239528
378	0.5695872144
379	0.5693971424
380	0.5691413196
381	0.5689125229
382	0.5687398399
383	0.5684938114
384	0.5682871344
385	0.568117137
386	0.5679019194
387	0.5677880849
388	0.5676314941
389	0.5675489826
390	0.5672920913
391	0.5670157998
392	0.566750767
393	0.5665224166
394	0.5663671934
395	0.5661681291
396	0.5660201019
397	0.565842563
398	0.5656035547
399	0.5654096336
400	0.5651820137
401	0.5649107978
402	0.5647630632
403	0.5645917168
404	0.5643413949
405	0.5641322374
406	0.5640203776
407	0.5638278038
408	0.5637099739
409	0.5634799257
410	0.563217591
411	0.5630340206
412	0.562804154
413	0.5625567095
414	0.5623519948
415	0.5621803144
416	0.5620210486
417	0.5618163664
418	0.5616128961
419	0.5614424836
420	0.561306236
421	0.5611017705
422	0.5609568198
423	0.5608093047
424	0.5606071138
425	0.5604671023
426	0.5602955867
427	0.5601416977
428	0.5599314345
429	0.5596985326
430	0.5594891983
431	0.5593453535
432	0.5591190356
433	0.558894476
434	0.5586422921
435	0.5583999267
436	0.5582423836
437	0.5581401235
438	0.5579718514
439	0.5577718503
440	0.5575575262
441	0.5573954624
442	0.5572909487
443	0.557109796
444	0.5569456487
445	0.556727986
446	0.556465392
447	0.5562600783
448	0.556009563
449	0.555813472
450	0.5556286784
451	0.5554463736
452	0.5552535111
453	0.5551189761
454	0.5549750238
455	0.5547628088
456	0.5545623521
457	0.5544155599
458	0.5542864822
459	0.5541237904
460	0.5539650134
461	0.5537733846
462	0.5536023823
463	0.5534324157
464	0.5532684078
465	0.5530188227
466	0.5528115467
467	0.5525727625
468	0.5524127899
469	0.5521368686
470	0.5519442477
471	0.5517689211
472	0.5516092428
473	0.5514675231
474	0.5512414984
475	0.5510845054
476	0.5508720887
477	0.5507103446
478	0.5505396558
479	0.550308719
480	0.5501720631
481	0.5500058001
482	0.5498182726
483	0.5496536615
484	0.549492772
485	0.5493076243
486	0.5490985388
487	0.5488385165
488	0.5486810389
489	0.5484693496
490	0.5483021211
491	0.5480461765
492	0.5478182217
493	0.5476724592
494	0.5475045695
495	0.5473387021
496	0.5471242701
497	0.5469118087
498	0.5467342802
499	0.546481073
500	0.5462678608
501	0.5460929908
502	0.54585761
503	0.545655792
504	0.5454264579
505	0.5452212588
506	0.5450689106
507	0.544954439
508	0.5447470674
509	0.5445882526
510	0.5443978242
511	0.5442264572
512	0.5440490572
513	0.543867132
514	0.5436745872
515	0.5434531816
516	0.543176708
517	0.5430040006
518	0.542873839
519	0.5427649141
520	0.5425818503
521	0.5423898465
522	0.5422737077
523	0.5420925487
524	0.5418162954
525	0.5416787381
526	0.5415215794
527	0.5413945136
528	0.5412066578
529	0.5410380289
530	0.5407954946
531	0.5406110743
532	0.5404797425
533	0.5403568049
534	0.5401563986
535	0.5399350048
536	0.5397724508
537	0.5395635801
538	0.5393619531
539	0.5391769545
540	0.5389977708
541	0.5388923912
542	0.5387016006
543	0.5385162363
544	0.5383112299
545	0.5381445422
546	0.5379437881
547	0.5377551667
548	0.5375788956
549	0.5374152114
550	0.5372471049
551	0.5370772105
552	0.5369289025
553	0.5367272211
554	0.5365591034
555	0.5364695465
556	0.5363253991
557	0.5361693225
558	0.5359356911
559	0.5357749807
560	0.5356292892
561	0.5354970263
562	0.5352839003
563	0.535075233
564	0.5348433668
565	0.5347091757
566	0.5346015164
567	0.534472291
568	0.5342938872
569	0.5341667412
570	0.5340171355
571	0.5339233689
572	0.5337587106
573	0.5336824752
574	0.5335412163
575	0.5333566022
576	0.5332466697
577	0.5330488566
578	0.532798356
579	0.5325580084
580	0.5324382238
581	0.5322582043
582	0.532002657
583	0.5318596182
584	0.5317057404
585	0.53149803
586	0.5313358199
587	0.5311495993
588	0.5309895322
589	0.5308241883
590	0.5306429554
591	0.5304856035
592	0.5303646267
593	0.5301323883
594	0.5299472796
595	0.5297817091
596	0.5296442923
597	0.5295137694
598	0.5293562238
599	0.5292076526
600	0.5290653173
601	0.5288697449
602	0.5286054341
603	0.5284188918
604	0.5281823531
605	0.5280140931
606	0.5278148222
607	0.5276289226
608	0.5274245209
609	0.527258849
610	0.5270467932
611	0.5268631554
612	0.5266789537
613	0.5265279864
614	0.5262982604
615	0.5261682188
616	0.5259426889
617	0.5258162381
618	0.525679167
619	0.5255582539
620	0.5253619036
621	0.5252017461
622	0.5251186963
623	0.5248715345
624	0.5247016876
625	0.5244658631
626	0.5243355163
627	0.5241250061
628	0.5239969101
629	0.5238948045
630	0.5237274445
631	0.5235136422
632	0.5234164452
633	0.5232524422
634	0.5231638323
635	0.5230475883
636	0.5228488673
637	0.5226285924
638	0.5224313789
639	0.5222988303
640	0.5220516106
641	0.5218839545
642	0.521677523
643	0.5214769655
644	0.5212832925
645	0.5211084697
646	0.5209206283
647	0.5207536801
648	0.5205739282
649	0.5204203218
650	0.5202201717
651	0.5201000636
652	0.5198656862
653	0.5196591419
654	0.5194899958
655	0.5193605537
656	0.519274207
657	0.5190502284
658	0.5188739531
659	0.5186791609
660	0.518541787
661	0.518348292
662	0.5181516036
663	0.5179577771
664	0.517887197
665	0.5177126683
666	0.5175512346
667	0.5173202141
668	0.5171376869
669	0.5169672465
670	0.5168662171
671	0.5166484239
672	0.5165076864
673	0.5163608044
674	0.5162298814
675	0.5160398022
676	0.5158539576
677	0.5157348596
678	0.5155879441
679	0.5154176517
680	0.5153039025
681	0.5151323079
682	0.5149613276
683	0.514790932
684	0.5146321439
685	0.5144747691
686	0.514322076
687	0.5142280415
688	0.5140946496
689	0.5139492191
690	0.5137486801
691	0.5135431773
692	0.5133734339
693	0.5132647191
694	0.5131351905
695	0.5130086801
696	0.5128696935
697	0.5127088014
698	0.5125140089
699	0.512357385
700	0.5121695817
701	0.5119226413
702	0.5117462591
703	0.5115837669
704	0.5114498215
705	0.511261219
706	0.511091128
707	0.5109060775
708	0.5107084561
709	0.5105436815
710	0.510443083
711	0.5103825468
712	0.5102322774
713	0.5100934783
714	0.5099180773
715	0.5097730263
716	0.50953475
717	0.5093894736
718	0.5091982023
719	0.5090278472
720	0.5088669291
721	0.5087775344
722	0.5085683261
723	0.5083869548
724	0.5082728012
725	0.5081554306
726	0.5080386766
727	0.5079155107
728	0.5077028026
729	0.5075667222
730	0.5073749884
731	0.5072562888
732	0.5070638187
733	0.5068574632
734	0.5067271554
735	0.5065711315
736	0.5064103298
737	0.5062588364
738	0.5061199253
739	0.505989129
740	0.5058614159
741	0.5057436259
742	0.5056008434
743	0.5054387532
744	0.5052610972
745	0.5051886539
746	0.5050597244
747	0.5049055694
748	0.5048011633
749	0.5046045603
750	0.5045313664
751	0.5043971166
752	0.5041958909
753	0.5040842436
754	0.5039893508
755	0.5038478872
756	0.503653861
757	0.5035163662
758	0.5033364565
759	0.5031478045
760	0.5029781813
761	0.5027413909
762	0.5025493396
763	0.5023483874
764	0.5021657121
765	0.5020363243
766	0.5018588902
767	0.5017123434
768	0.5016094899
769	0.5014297818
770	0.5013053696
771	0.5012092039
772	0.5010595917
773	0.5009941795
774	0.5009201042
775	0.5008034139
776	0.5006369765
777	0.5005250025
778	0.5003883576
779	0.5002106163
780	0.5000214598
781	0.4998919396
782	0.4998016156
783	0.499643677
784	0.499515678
785	0.4993163869
786	0.4991812537
787	0.4989745721
788	0.4987932934
789	0.4986698881
790	0.4985524002
791	0.498441531
792	0.4983037826
793	0.4981689471
794	0.4980042986
795	0.4978307023
796	0.4977333806
