iter	Passed	Remaining
0	206	206283
1	219	109657
2	232	77231
3	243	60517
4	254	50552
5	265	43952
6	278	39457
7	291	36116
8	304	33537
9	317	31432
10	330	29684
11	343	28318
12	357	27145
13	370	26089
14	383	25154
15	395	24314
16	407	23575
17	420	22950
18	434	22413
19	446	21882
20	458	21389
21	471	20969
22	484	20584
23	498	20253
24	511	19935
25	524	19643
26	538	19389
27	553	19209
28	566	18958
29	579	18741
30	592	18530
31	606	18349
32	619	18163
33	632	17960
34	644	17775
35	657	17599
36	670	17441
37	683	17307
38	697	17188
39	711	17079
40	724	16944
41	737	16819
42	750	16702
43	764	16604
44	776	16478
45	789	16375
46	802	16278
47	817	16209
48	830	16123
49	844	16038
50	857	15955
51	868	15837
52	879	15723
53	891	15612
54	902	15511
55	914	15408
56	925	15305
57	936	15211
58	947	15112
59	958	15013
60	971	14959
61	983	14886
62	995	14812
63	1007	14730
64	1018	14656
65	1030	14576
66	1041	14498
67	1052	14420
68	1063	14345
69	1075	14291
70	1088	14240
71	1100	14182
72	1111	14119
73	1122	14051
74	1133	13983
75	1145	13923
76	1156	13859
77	1167	13795
78	1179	13749
79	1191	13704
80	1202	13648
81	1214	13599
82	1225	13541
83	1236	13484
84	1247	13427
85	1259	13385
86	1273	13360
87	1287	13346
88	1302	13335
89	1316	13308
90	1329	13276
91	1342	13245
92	1355	13216
93	1368	13188
94	1380	13153
95	1394	13127
96	1406	13097
97	1422	13090
98	1435	13060
99	1447	13026
100	1459	12992
101	1472	12967
102	1486	12948
103	1501	12935
104	1514	12911
105	1527	12882
106	1540	12853
107	1553	12827
108	1566	12807
109	1579	12776
110	1592	12755
111	1606	12739
112	1619	12716
113	1633	12692
114	1645	12662
115	1940	14791
116	1959	14791
117	1972	14745
118	1984	14692
119	1995	14633
120	2006	14575
121	2017	14519
122	2028	14463
123	2040	14413
124	2051	14360
125	2062	14307
126	2073	14251
127	2084	14201
128	2095	14149
129	2107	14102
130	2118	14053
131	2129	14003
132	2140	13951
133	2151	13903
134	2162	13853
135	2173	13810
136	2184	13761
137	2195	13712
138	2206	13666
139	2217	13622
140	2228	13576
141	2239	13530
142	2251	13495
143	2265	13467
144	2277	13431
145	2290	13399
146	2303	13365
147	2317	13338
148	2330	13308
149	2342	13276
150	2355	13245
151	2368	13215
152	2381	13184
153	2394	13156
154	2409	13134
155	2422	13107
156	2435	13077
157	2448	13046
158	2461	13017
159	2473	12987
160	2486	12957
161	2499	12927
162	2511	12897
163	2524	12868
164	2537	12840
165	2550	12811
166	2563	12784
167	2576	12759
168	2589	12732
169	2602	12707
170	2615	12681
171	2629	12656
172	2642	12631
173	2655	12605
174	2668	12580
175	2681	12553
176	2694	12528
177	2707	12501
